iter	Passed	Remaining
639	91740	51604
640	91910	51475
641	92074	51343
642	92221	51202
643	92376	51065
644	92533	50929
645	92684	50790
646	92829	50647
647	92948	50490
648	93098	50350
649	93238	50205
650	93386	50064
651	93522	49916
652	93657	49769
653	93792	49621
654	93937	49478
655	94052	49320
656	94179	49168
657	94319	49023
658	94449	48872
659	94570	48718
660	94698	48566
661	94823	48414
662	94974	48274
663	95090	48117
664	95208	47961
665	95329	47807
666	95485	47671
667	95621	47524
668	95740	47369
669	95879	47224
670	96020	47079
671	96140	46925
672	96259	46771
673	96381	46617
674	96509	46467
675	96632	46314
676	96852	46208
677	97042	46088
678	97237	45969
679	97416	45842
680	97570	45705
681	97752	45579
682	97994	45482
683	98136	45337
684	98247	45179
685	98383	45032
686	98499	44876
687	98637	44731
688	98808	44600
689	98930	44446
690	99072	44303
691	99190	44148
692	99328	44002
693	99460	43854
694	99620	43718
695	99761	43574
696	99953	43451
697	100082	43302
698	100228	43159
699	100353	43008
700	100499	42866
701	100615	42711
702	100763	42569
703	100900	42423
704	101006	42265
705	101158	42125
706	101321	41990
707	101451	41841
708	101589	41696
709	101720	41547
710	101925	41429
711	102066	41285
712	102200	41138
713	102332	40990
714	102464	40842
715	102590	40692
716	102726	40546
717	102866	40401
718	103013	40259
719	103155	40116
720	103286	39967
721	103423	39822
722	103586	39686
723	103719	39539
724	103859	39395
725	103984	39244
726	104119	39098
727	104291	38966
728	104426	38819
729	104543	38666
730	104694	38526
731	104817	38375
732	104968	38235
733	105102	38088
734	105241	37944
735	105357	37791
736	105503	37649
737	105656	37509
738	105771	37356
739	105901	37208
740	106046	37066
741	106177	36918
742	106304	36770
743	106432	36621
744	106563	36474
745	106687	36325
746	106834	36183
747	106979	36041
748	107113	35895
749	107222	35740
750	107352	35593
751	107488	35448
752	107617	35300
753	107732	35148
754	107872	35004
755	107998	34856
756	108158	34719
757	108272	34567
758	108406	34421
759	108538	34275
760	108692	34136
761	108813	33986
762	108946	33840
763	109081	33695
764	109219	33551
765	109341	33401
766	109478	33257
767	109608	33110
768	109746	32966
769	109871	32818
770	110005	32673
771	110146	32530
772	110289	32387
773	110419	32241
774	110562	32098
775	110693	31952
776	110829	31808
777	110949	31659
778	111071	31510
779	111220	31369
780	111342	31221
781	111477	31076
782	111619	30934
783	111782	30797
784	111922	30653
785	112039	30504
786	112183	30362
787	112307	30214
788	112438	30068
789	112553	29919
790	112714	29781
791	112879	29645
792	113057	29511
793	113228	29376
794	113414	29245
795	113582	29109
796	113727	28966
797	113941	28842
798	114129	28710
799	114265	28566
800	114411	28424
801	114526	28274
802	114664	28130
803	114794	27984
804	114958	27847
805	115114	27707
806	115300	27575
807	115456	27435
808	115596	27291
809	115716	27143
810	115833	26994
811	115977	26851
812	116105	26705
813	116246	26562
814	116432	26429
815	116572	26285
816	116675	26134
817	116802	25987
818	116952	25846
819	117106	25706
820	117233	25559
821	117417	25426
822	117566	25284
823	117725	25145
824	117870	25002
825	117997	24856
826	118130	24711
827	118294	24573
828	118427	24428
829	118576	24286
830	118722	24144
831	118869	24002
832	118988	23854
833	119172	23720
834	119356	23585
835	119499	23442
836	119613	23293
837	119749	23149
838	119878	23004
839	120003	22857
840	120121	22710
841	120291	22572
842	120442	22431
843	120611	22293
844	120733	22146
845	120842	21997
846	120973	21852
847	121136	21713
848	121343	21581
849	121462	21434
850	121635	21296
851	121782	21154
852	121919	21010
853	122021	20860
854	122143	20714
855	122275	20569
856	122410	20425
857	122550	20282
858	122693	20139
859	122827	19995
860	122973	19852
861	123094	19706
862	123209	19559
863	123350	19416
864	123483	19271
865	123608	19126
866	123752	18983
867	123888	18840
868	124035	18698
869	124168	18553
870	124297	18409
871	124437	18266
872	124594	18125
873	124716	17979
874	124835	17833
875	124978	17690
876	125097	17545
877	125250	17403
878	125377	17258
879	125520	17116
880	125651	16972
881	125761	16825
882	125896	16681
883	126022	16536
884	126158	16393
885	126298	16250
886	126439	16107
887	126558	15962
888	126677	15816
889	126816	15673
890	126947	15530
891	127077	15386
892	127200	15241
893	127310	15094
894	127434	14950
895	127571	14807
896	127701	14663
897	127818	14518
898	127951	14374
899	128073	14230
900	128189	14085
901	128301	13939
902	128443	13797
903	128581	13654
904	128761	13516
905	128920	13375
906	129090	13236
907	129234	13094
908	129418	12956
909	129612	12818
910	129758	12676
911	129909	12535
912	130055	12393
913	130190	12249
914	130357	12109
915	130501	11967
916	130624	11823
917	130766	11680
918	130900	11537
919	131037	11394
920	131178	11251
921	131330	11110
922	131535	10973
923	131665	10829
924	131788	10685
925	131943	10544
926	132074	10400
927	132210	10257
928	132368	10116
929	132490	9972
930	132661	9832
931	132827	9691
932	132969	9548
933	133101	9405
934	133265	9264
935	133394	9121
936	133564	8980
937	133699	8837
938	133833	8694
939	133976	8551
940	134100	8408
941	134203	8263
942	134373	8122
943	134555	7982
944	134703	7839
945	134837	7696
946	134981	7554
947	135105	7410
948	135225	7267
949	135335	7122
950	135500	6981
951	135615	6837
952	135755	6695
953	135883	6552
954	136024	6409
955	136141	6265
956	136339	6126
957	136495	5984
958	136655	5842
959	136818	5700
960	136936	5557
961	137063	5414
962	137198	5271
963	137347	5129
964	137475	4986
965	137600	4843
966	137720	4699
967	137838	4556
968	137976	4414
969	138110	4271
970	138292	4130
971	138461	3988
972	138626	3846
973	138786	3704
974	138940	3562
975	139072	3419
976	139215	3277
977	139379	3135
978	139527	2992
979	139691	2850
980	139831	2708
981	139999	2566
982	140136	2423
983	140273	2280
984	140433	2138
985	140560	1995
986	140736	1853
987	140860	1710
988	141010	1568
989	141136	1425
990	141272	1282
991	141419	1140
992	141563	997
993	141726	855
994	141868	712
995	142027	570
996	142185	427
997	142306	285
998	142447	142
999	142588	0
